customer_id,search_query,search_timestamp,result_count,filter_applied
1,"Nissan Skyline R34",2023-10-26T10:00:00,5,"year:1999-2002"
1,"Toyota Supra JZA80",2023-10-26T10:05:00,3,"color:Red"
2,"Mazda RX-7 FD",2023-10-25T14:00:00,2,""
2,"Honda Civic Type R",2023-10-25T14:10:00,4,"condition:A"
3,"Subaru Impreza",2023-10-26T11:05:00,7,"year:2000-2005"
5,"Kei car",2023-11-21T12:01:00,3,"make:Honda,Suzuki,Autozam"
6,"Mitsubishi Lancer Evo",2023-11-22T15:00:00,2,"model:Evo VI,Evo IX"
7,"RWD manual",2023-11-23T16:30:00,15,"drivetrain:RWD;transmission:Manual"
8,"Nissan Silvia",2023-11-24T09:00:00,2,"model:S14,S15"
11,"Toyota Chaser",2023-11-25T11:00:00,1,"engine:1JZ"
15,"LHD",2023-11-26T13:20:00,1,"steering:LHD"
20,"cars under 1,000,000 JPY",2023-11-27T17:00:00,4,"price_max:1000000"
22,"Toyota Crown",2023-11-28T10:45:00,1,""
25,"90s convertible",2023-11-29T19:50:00,2,"year:1990-1999;body:convertible"
30,"rotary engine",2023-11-30T21:00:00,3,"engine:rotary"
1, "Nissan Skyline", 2023-12-01T09:30:00, 7, "make:Nissan;model:Skyline"
5, "Honda S2000", 2023-12-01T15:00:00, 1, "year:2002"
7, "Subaru WRX STI", 2023-12-02T10:30:00, 3, "year:2004;color:White"
8, "Mazda RX-7", 2023-12-02T17:00:00, 2, "chassis_code:FD3S"
11, "Toyota Supra", 2023-12-03T11:00:00, 1, "engine:2JZ-GTE"
15, "Acura NSX", 2023-12-03T18:00:00, 1, "steering_side:LHD"
20, "Mitsubishi Lancer Evo", 2023-12-04T10:00:00, 4, "make:Mitsubishi;model:Lancer Evo"
22, "Kei car convertible", 2023-12-04T15:00:00, 2, "body:convertible;description:Kei car"
25, "JDM classic", 2023-12-05T11:00:00, 10, "year:1990-2000"
30, "sports sedan", 2023-12-05T16:30:00, 8, "body:sedan;description:sports"
30,"rotary engine",2023-11-30T21:00:00,3,"engine:rotary"
31,"LHD sports car",2023-12-11T10:00:00,1,"steering_side:LHD"
32,"Toyota Chaser JZX100",2023-12-11T11:00:00,1,"make:Toyota;model:Chaser;chassis_code:JZX100"
33,"French hot hatch",2023-12-12T12:00:00,0,"description:hot hatch;country:France"
34,"German sedan",2023-12-12T13:00:00,0,"body:sedan;country:Germany"
35,"Indian classic cars",2023-12-13T14:00:00,0,"country:India;year:1960-1980"
36,"Spanish rally cars",2023-12-13T15:00:00,0,"description:rally;country:Spain"
37,"Korean coupe",2023-12-14T16:00:00,0,"body:coupe;make:Hyundai,Kia"
38,"Italian roadster",2023-12-14T17:00:00,0,"body:roadster;country:Italy"
39,"Canadian muscle cars",2023-12-15T18:00:00,0,"description:muscle;country:Canada"
40,"UAE luxury SUV",2023-12-15T19:00:00,0,"body:SUV;description:luxury;country:UAE"